True Values,Scratch Pred,Sklearn Pred
yes,yes,yes
no,no,no
no,no,no
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
no,no,no
yes,yes,yes
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
yes,yes,yes
no,no,no
no,yes,yes
yes,yes,yes
no,no,no
no,no,no
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
yes,yes,no
no,no,no
no,no,no
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
no,yes,yes
yes,yes,yes
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
no,yes,yes
no,no,no
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
yes,yes,yes
no,yes,no
no,yes,yes
yes,yes,yes
no,yes,yes
no,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
no,no,no
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
